Cycle,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3
14,7101.253344,8251.01935,8739.801907,-19.64499141,-17.38621857,-11.83704305,83.01738792,83.96606326,85.1332083,-22.28163996,-23.42071102,-11.19632551,7411.405383,8185.618478,8740.346002,-16.3295384,-10.11073049,-15.3398548,56.2839758,58.59384639,26.36261624,-8.254738576,-7.821212031,-6.996853808
15,9148.240152,10630.40098,11266.9309,18.64875847,16.64274034,14.14032301,231.4227343,226.3963211,228.5242919,-19.36054796,-16.79872593,2.031268952,9581.176855,10592.17601,11320.18178,28.99017161,23.02836913,24.57307523,155.6378341,149.1967868,116.4986472,-8.360769932,-8.611395053,-10.71853788
16,11134.03338,12930.88969,13699.75949,36.63827394,42.88381472,41.72727276,500.3183473,494.3641326,498.6501495,-39.74233364,-29.41715388,-20.50715302,11733.8326,12957.92683,13850.97344,83.83456113,85.14660036,88.02415198,334.9390125,329.5797265,296.5600318,-23.10584724,-20.64913265,-16.34274442
17,12991.34142,15063.27248,15967.37618,127.3478858,128.882258,130.7151676,1009.262866,1000.145048,1010.257233,-34.29508902,-24.5679355,-12.83807702,13796.06048,15196.1723,16249.34135,240.2942397,241.5214344,238.2618402,676.6721554,682.5970251,636.0701576,-19.37241447,-26.90659465,-23.77110345
18,14532.52697,16824.62687,17836.59886,284.736934,288.6066767,297.401117,1892.232993,1886.421928,1907.104158,-36.73432385,-33.46911148,-16.02747115,15507.32899,17045.14536,18225.33311,524.091386,528.8335596,528.694288,1306.15342,1312.660964,1264.077752,-28.12586044,-27.58876103,-28.22597115
19,15856.07048,18311.40028,19435.50976,596.793756,601.1850394,612.442049,3307.339703,3285.548204,3318.669437,-34.83461244,-25.60772922,-9.724749554,16964.6914,18607.63195,19901.05,1062.454031,1075.023785,1079.698655,2378.52089,2401.492119,2344.473912,-26.09877636,-24.03784483,-22.91357521
20,16941.82308,19519.79079,20725.09233,1163.706313,1185.707106,1195.984409,5259.056555,5226.291429,5272.834699,-32.17232369,-16.69298481,-10.7441178,18157.21961,19871.38444,21248.86766,2044.703644,2050.744488,2070.842801,4041.907304,4083.195093,4018.639041,-26.14888025,-28.54420358,-24.25202728
21,17837.41226,20499.0136,21765.7442,2182.926034,2234.64672,2250.201004,7889.278519,7850.18395,7913.615753,-21.11083796,-3.390693001,-6.295294674,19129.15894,20885.19073,22326.20078,3704.954958,3716.654412,3749.755436,6277.106299,6350.57241,6259.419655,-18.86333225,-16.85649271,-17.84979617
22,18483.61584,21199.02259,22514.30412,3882.06601,3977.036231,4016.10045,10615.87234,10570.57452,10649.11615,-15.1081554,29.08346193,13.87863698,19831.83615,21613.08203,23089.94718,6205.662881,6191.439376,6278.693388,9088.556395,9192.571456,9091.57673,-9.591487639,-6.401354052,-6.276749088
23,18932.25006,21669.8742,23025.98951,6192.788077,6326.859069,6387.890624,13359.52383,13309.76114,13396.6087,48.3948743,115.8209866,70.51727037,20304.50581,22102.39002,23595.26188,9205.366551,9101.86326,9261.976682,11918.03106,12058.3738,11943.49999,32.92470731,31.51322487,29.63851434
24,19190.20979,21947.62275,23335.5861,9041.59891,9242.38336,9337.024971,15800.90677,15751.79449,15846.34563,155.7922654,260.1658669,167.3186962,20586.34405,22380.78769,23896.26963,12255.15981,12055.3494,12290.95696,14625.14868,14800.56952,14662.80212,113.2625034,113.4553584,108.2543785
25,19401.38832,22167.05786,23567.2566,11924.30001,12182.89275,12316.98922,17910.10261,17853.76844,17953.45546,353.0850591,511.8263651,356.5523478,20815.18028,22608.06226,24130.35535,15226.70911,14938.37796,15238.92878,17071.47698,17288.85694,17128.85454,265.5120635,255.5281337,240.9802676
26,19542.29073,22322.97697,23724.71082,14611.09194,14926.12076,15093.33424,19582.53914,19529.06729,19630.64565,738.371654,924.5689655,710.918595,20972.10826,22759.83204,24293.65077,17754.27127,17383.9732,17741.6249,19078.08111,19323.47219,19136.70623,545.0208628,540.8201711,513.9396655
27,19657.15946,22441.92153,23850.03062,16878.92399,17235.69125,17438.93551,20882.89632,20826.63943,20933.63922,1435.524371,1600.918277,1368.513121,21103.85208,22886.43717,24414.67748,19749.42675,19321.71368,19708.49676,20669.78168,20931.86053,20733.61311,1086.371643,1065.028652,1023.582336
28,19736.57668,22523.13303,23940.33742,18614.71611,19000.87264,19237.6466,21816.71104,21770.90029,21874.38927,2673.635433,2603.296971,2524.959555,21178.69958,22966.90967,24497.09794,21197.35799,20737.88768,21135.40233,21853.64816,22125.1178,21912.66607,2064.590895,2020.332355,1938.579157
29,19807.08065,22596.37843,24020.97948,19923.78729,20327.89015,20596.91507,22497.27211,22450.97376,22556.71056,4656.039695,4014.972846,4406.844726,21253.58008,23036.99776,24575.48945,22250.13493,21774.93674,22160.09599,22732.28467,22999.38647,22791.15036,3717.936815,3633.63428,3480.614204
30,19875.63346,22662.31051,24080.02376,20851.68079,21262.66677,21552.38313,22950.97699,22897.99535,23006.83595,7223.319657,5844.48377,6930.442546,21295.4533,23094.86338,24637.30472,22956.51312,22489.9621,22852.79878,23328.52605,23605.47791,23385.69853,6192.817974,6054.172949,5750.305587
31,19924.38018,22721.49528,24145.31317,21503.89754,21917.38638,22222.5989,23254.02115,23191.07265,23318.20744,10110.70303,8055.415602,9784.30364,21351.96725,23153.50177,24698.04736,23441.25086,22982.81363,23320.49951,23740.35717,24014.79694,23785.92462,9164.267293,8945.075798,8407.519208
32,19969.15149,22764.15741,24199.44221,21928.20506,22334.19251,22655.67716,23438.87953,23372.14233,23500.55635,13037.51646,10290.49069,12678.41077,21393.52377,23206.2682,24739.35366,23744.10489,23296.63577,23610.93617,23990.62668,24279.50617,24029.30237,12228.95293,11922.42373,11144.80391
33,20010.49523,22815.19247,24263.13603,22222.82381,22630.28574,22968.7379,23570.75436,23514.66687,23633.04591,15847.44796,12522.50027,15464.71743,21451.98197,23272.79936,24799.28452,23967.41307,23520.35164,23821.85688,24178.95117,24459.49753,24208.89299,15278.4601,14878.84857,13837.7525
34,20041.46465,22850.16488,24294.98814,22392.58915,22806.08533,23143.31468,23638.68233,23588.61454,23698.26472,18168.29751,14598.74719,17780.98556,21481.77535,23299.12965,24831.21014,24085.07746,23642.45988,23940.73899,24274.26461,24548.77854,24302.21921,17932.15364,17444.94712,16146.15323
35,20078.4418,22898.54863,24340.12476,22521.22085,22935.26915,23277.1572,23693.65493,23648.28508,23765.33477,19987.91599,16501.24794,19587.55354,21529.22373,23342.80142,24879.03839,24175.47293,23739.54396,24036.19514,24353.3957,24620.09232,24381.36132,20065.3395,19505.53518,17980.11243
36,20101.18476,22926.71064,24370.83465,22597.38906,23006.01102,23348.64132,23723.36401,23667.42432,23794.13258,21325.15983,18153.72508,20865.14475,21548.21024,23366.66383,24896.22961,24221.16435,23794.48488,24080.71965,24389.76438,24659.79077,24418.25099,21607.01065,20999.25606,19305.58004
37,20140.30868,22966.2673,24414.9707,22667.18129,23065.78463,23424.33001,23761.99023,23706.6746,23830.54856,22289.40766,19582.0221,21762.5698,21574.22536,23413.12459,24926.6213,24271.93724,23852.41859,24127.55724,24434.01144,24708.6627,24461.17433,22720.15083,22075.45119,20268.58322
38,20172.88671,23001.62609,24452.42789,22720.75939,23114.23627,23479.93816,23802.77548,23728.22187,23855.53659,22948.75595,20751.10921,22354.58863,21590.86108,23451.34413,24952.92752,24315.1907,23896.63199,24162.31043,24472.20794,24746.11963,24485.91521,23465.52046,22805.85903,20909.66491
39,20213.83367,23030.06715,24479.55371,22760.20999,23150.0955,23517.43923,23825.95646,23747.37477,23880.89993,23362.31778,21683.93142,22732.25032,21613.95074,23480.28865,24983.51383,24338.53854,23918.2657,24187.94471,24494.47903,24770.17432,24502.16358,23946.50675,23271.24737,21317.68525
40,20251.89428,23042.26432,24487.56762,22776.11309,23165.54376,23525.53789,23822.35324,23740.78552,23885.12968,23639.12538,22452.63239,22975.45201,21626.49796,23489.09946,25003.12816,24336.68593,23911.06678,24187.59668,24490.99102,24773.4954,24500.60547,24255.7,23570.90964,21572.89469
