Cycle,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3
15,9243.490603353162,10726.617400509953,11369.309605261627,44.63984497589258,45.54437349446924,46.01756435782786,283.4066036416263,280.9093254901245,284.5948704221635,0.434649735886489,0.45250816369671715,0.4022680904987561,9697.277068532343,10680.084728611317,11423.80447733625,83.4346446428709,84.81109290411689,84.80986700078584,186.93390157199806,188.36815761279615,184.27856897861943,0.3202256350481187,0.3143695940732606,0.30411258868094254
16,11191.280543387282,12983.65890192932,13763.982149345142,88.93691125253288,90.74075045923833,91.68299796222121,552.3810626915996,547.6239910406024,554.6660119524422,0.8692678473575364,0.9049611637013711,0.8045093464567352,11835.780551267691,13035.34758495715,13947.260276424617,165.77600486326108,168.4461765495804,168.48687786436793,367.66744588757365,370.53551381393646,362.60153440763,0.6404353345280954,0.6287233543794999,0.6082090237824161
17,12972.142857498595,15033.908978921441,15941.449740407057,176.52242336391924,180.10941740456215,181.97765459527008,1052.2504813939656,1043.5630172598821,1056.4978469462085,1.7384092145377863,1.8097017253902052,1.6089113682986949,13798.071264753975,15184.768161395772,16246.711556648186,327.28507560321435,332.30934877177583,332.5544339056794,712.0322010615845,717.755435459374,702.783832821444,1.2808069327805844,1.2573833797229268,1.2163534397346483
18,14523.011470186028,16804.20146610927,17823.943222519818,347.79128822912486,354.88401227329916,358.5575959424542,1927.7360326672476,1912.9341473706872,1935.204896943043,3.4763126481926707,3.6185214645173174,3.2173935464898564,15507.559810928418,17043.47523471819,18230.752451417608,638.3010957485603,647.1935624482984,648.2736593274844,1341.148608695489,1352.4785670710864,1325.565971857619,2.5613589684228524,2.5145134915458724,2.4324485000367266
19,15819.581079328547,18269.290516350848,19384.132549215858,675.7006728939681,689.5724885645158,696.6838709877832,3328.3216739860554,3305.4765147419153,3340.460211707744,6.95060329067089,7.233518354145656,6.433071198801106,16933.436139425008,18580.024716591288,19866.351435075896,1217.201971720627,1231.088585812686,1235.1783443586608,2413.1613475191434,2435.0761424640723,2390.257267452351,5.121698731820174,5.028014297257787,4.863863897234763
20,16867.528222983412,19440.176075104577,20632.974425055585,1279.779786704029,1306.3543538238803,1319.7420558837707,5319.608478347671,5288.208535493405,5337.59316475393,13.893127488356491,14.45296530409413,12.859285741936494,18080.753704896913,19804.05858356914,21165.13353158065,2233.2985396445856,2249.680538250534,2263.1412549435195,4064.1243761507135,4104.407792590652,4036.9936607260133,10.239323708801049,10.051980934294543,9.723598698831474
21,17691.594774692465,20349.97020453488,21604.93007459734,2322.4099420201574,2371.4759149670012,2395.5635532434735,7809.055902410652,7770.366583381479,7833.432875764621,27.754009841756627,28.849859104833808,25.69120008659807,18977.446127591607,20750.523949352795,22165.93131917257,3861.846079418204,3868.2193624359834,3905.6095428445965,6310.255460923248,6378.436346863642,6287.521251301916,20.462376873104574,20.087795844521477,19.430707486314
22,18325.624268002168,21041.404484625138,22344.834610673395,3954.2858950678788,4039.652717705366,4080.317865119443,10566.764327107889,10522.95351896916,10597.466603311292,55.37960582799651,57.47712849431121,51.273354112343334,19662.30474813922,21465.46371340659,22919.198696109434,6174.6658637999035,6144.220012389168,6229.195543376577,8999.741565036884,9104.040283741548,8992.257669667377,40.859866614457886,40.11112376102263,38.7956662283727
23,18805.221565750067,21557.995646057152,22898.55534100951,6207.857274817321,6344.6276679188695,6408.344704567498,13316.979698333738,13269.991896768057,13353.555767822518,110.25003896606897,114.07720844021536,102.11400422592229,20176.129840533544,21995.927593827204,23476.066311135306,9041.718564870811,8940.596154340554,9097.577447023963,11867.592556819623,12011.863471226914,11882.737970283226,81.46173313261976,79.96593300161263,77.3300109198628
24,19163.316261238157,21939.006924138128,23307.61821248591,8925.677123445106,9124.688861734157,9217.495999199708,15825.222837329728,15776.200078465035,15867.044719972024,218.4984571864873,224.7487177928538,202.52447171946724,20556.449002465546,22384.252237249966,23882.23943962116,12153.323534086803,11957.228155543364,12197.651720824215,14635.863807673726,14818.557740591472,14674.30204704422,161.9036655360698,158.9188743207356,153.6279068893508
25,19428.08241438986,22217.332319312918,23606.912842759997,11806.931170633532,12069.886501891404,12196.710961819463,17946.05480949279,17895.3572056358,17992.43487781792,429.2589306393296,436.6358944441966,398.44442436953926,20835.11404949903,22665.706327516455,24175.573015505204,15147.560396696821,14853.470764499818,15168.574479391875,17091.278337113705,17306.56921688337,17147.660913826156,319.8228207365493,313.880957915076,303.2293849686034
26,19622.419318451914,22419.212255859664,23824.34185225313,14529.670797917428,14848.474034197077,15012.52227168558,19629.795812378226,19577.34121775397,19680.036834058265,829.5385497624834,827.1141794692527,772.021669830486,21037.773666530218,22868.221714212923,24385.890048853908,17740.710664242408,17365.784149539515,17731.20472174198,19119.21082612979,19359.233108716235,19185.281501642872,624.4216486016135,612.6519469246186,591.1195264004965
27,19764.29433226514,22564.888847262744,23981.47846843033,16857.987833242012,17218.374082501152,17420.361682159222,20900.277331231937,20845.896153089507,20953.699066160327,1556.5998357997396,1502.3205235778937,1455.2741260147411,21184.35331012429,23013.17189739959,24535.90100254949,19793.726052807524,19365.045528471208,19752.240196009316,20698.3774831943,20955.363068544648,20766.21298013393,1193.0472209111401,1169.9798149492317,1126.3183782022982
28,19867.460850991272,22669.616163505027,24094.61361460774,18687.714485352735,19074.445226893247,19312.179106718893,21821.863674091193,21765.50203728655,21877.829632437944,2783.841942364197,2565.9796300326434,2620.924473284397,21289.950347239963,23116.52724215837,24642.498990126347,21304.415388267946,20847.95919226977,21234.090613522698,21871.822599024556,22139.40554026415,21935.74374664182,2195.9825805749856,2151.765890996098,2063.7902117482386
29,19942.263714430057,22744.701829999485,24175.846733020535,20030.53709092265,20431.217569775657,20700.067569221403,22470.978077709857,22412.74234429324,22528.921920926747,4647.624255067584,4060.824348596147,4415.889042656079,21365.804659262754,23190.024139701025,24718.046154590575,22355.041826222783,21889.579155527088,22261.370466449935,22713.099675578334,22986.713862339657,22770.06378775705,3814.8446010459547,3733.6301077222115,3561.8076522608394
30,19996.387297936966,22798.431102254614,24234.05921046545,20965.626030591222,21372.015246728224,21666.087472670246,22918.567073169277,22858.680426871655,22978.010053458143,7135.91157933513,5933.711837825041,6847.042587243835,21420.18086620059,23242.187460708785,24771.486029475625,23056.275055003196,22592.56711501946,22945.104511898953,23300.519988115753,23577.211534021983,23349.59025113246,6133.842441506221,5994.6584680579,5681.157785046457
31,20035.488885069233,22836.824847345146,24275.71611078426,21592.395646535337,21999.88961242659,22313.245643681697,23222.62199488496,23161.36006504589,23283.17745170559,10043.222817136832,8060.727585874532,9720.12121007171,21459.102515637052,23279.158727549035,24809.237188496612,23511.14883758334,23053.926113627513,23387.546067735046,23703.02201255293,23981.039339635103,23744.575069429513,9034.024191618139,8816.10111833421,8297.258669909772
32,20063.70676716043,22864.232860617776,24305.495737168592,22001.51465851423,22407.981687333016,22735.434899272095,23427.05752318598,23364.69726581807,23488.42461937918,13046.340150076134,10296.995412626095,12705.648158411537,21486.932330551725,23305.33692095773,24835.880193532557,23800.652452962655,23351.049672374153,23668.532458469792,23975.21479275242,24253.60350510344,24010.26564803588,12206.478271817028,11896.565388454397,11123.93508663086
33,20084.054184089167,22883.784611178573,24326.76917707444,22263.86217047896,22668.582595350657,23006.00749474349,23563.555497676454,23500.34543268768,23625.50689939281,15830.058368041146,12510.958548648523,15472.189138357635,21506.816060004086,23323.86006436574,24854.670987830454,23982.644533880986,23540.047448323658,23844.829282321956,24157.63565137644,24435.92654131105,24187.39113898636,15279.161318579907,14875.820425003396,13831.452478937801
34,20098.717935403216,22897.72494510565,24341.958271028056,22430.152394550016,22833.09840082538,23177.411906822676,23654.26565366729,23590.413582645666,23716.63334882846,18180.584902264214,14599.472924633706,17793.183379952538,21521.01475136999,23336.960238453634,24867.917505237187,24096.154643025387,23659.31184379219,23954.59191662474,24279.150210048734,24557.148870067565,24304.764378219617,17953.687790269898,17466.484942860287,16165.057989052957
35,20109.2812764384,22907.660757250174,24352.799181829054,22534.774765715432,22936.197190763007,23285.189754509214,23714.358595486392,23650.03026394132,23777.020481773186,20015.904181661415,16492.217225504082,19584.266465803783,21531.149883885308,23346.221901802433,24877.25248674001,24166.60250332998,23734.19077562119,24022.60025168973,24359.764153653214,24637.42073365604,24382.230628109715,20078.73187586609,19523.82290573634,18003.624444335575
36,20116.88853358332,22914.740563794436,24360.53462612417,22600.288592943103,23000.508517202692,23352.6409355442,23754.08559561765,23689.408912371982,23816.95405542562,21361.522405945067,18150.427279298525,20876.92910620043,21538.382403309366,23352.768180803767,24883.82941514561,24210.18984452484,23781.052301202304,24064.610991774556,24413.09907507654,24690.432664533197,24433.222373049928,21645.86579167379,21040.86355394531,19350.125434682595
37,20122.36577225042,22919.784382400077,24366.053152191555,22641.191256173744,23040.508523983608,23394.729275086993,23780.312580401158,23715.383923245787,23843.325347975857,22301.775846275046,19562.1050521699,21763.780537957322,21543.54256682177,23357.39438508413,24888.462399360425,24237.10647396858,23810.32070497969,24090.513809732605,24448.322377274097,24725.379577802374,24466.72849448977,22736.824633517517,22097.19623539502,20282.42330312654
38,20126.30878423765,22923.3772445921,24369.98958342525,22666.680818291836,23065.342469198324,23420.942949396052,23797.611320827404,23732.502025359747,23860.724477634292,22936.207310360318,20735.29754231077,22350.518972019974,21547.22365074525,23360.663287316926,24891.725630508066,24253.70868585282,23828.5779185197,24106.466440958746,24471.55671887998,24748.3904002603,24488.71955368243,23464.999415955335,22802.60095952766,20902.164292031997
39,20129.147005122384,22925.936308165532,24372.797218594158,22682.546865429144,23080.743218335043,23437.250582410914,23809.01431364523,23743.77646315508,23872.197064927168,23353.984919760733,21691.00047341701,22729.167093636523,21549.84934422342,23362.972912377892,24894.023890453944,24263.941454501673,23839.95754959377,24116.28411201318,24486.870713774926,24763.53012602865,24503.141971597935,23937.03801795657,23260.177311222356,21302.703916919007
40,20131.189822237677,22927.758913682137,24374.799610261114,22692.415583321654,23090.287297367573,23447.38830970237,23816.52795694873,23751.19917222113,23879.758812605207,23624.612056595644,22456.910940832156,22969.53655679498,21551.72209929023,23364.60466562203,24895.6424374312,24270.245569959752,23847.046936297073,24122.323517855002,24496.959081738125,24773.48605241032,24512.595923132914,24237.12961190598,23551.29459994028,21556.776306749816
