Cycle,A-1,A-2,A-3,B-1,B-2,B-3,C-1,C-2,C-3,D-1,D-2,D-3,E-1,E-2,E-3,F-1,F-2,F-3,G-1,G-2,G-3,H-1,H-2,H-3
11,0.11180624111991083,0.11299057792532179,0.11267597891250149,0.00012330681064002142,0.00012364052522739928,0.00012301866444916924,0.000762204020770098,0.0007574162296832401,0.0007634144177525183,1.1273562836500268e-06,1.1269345329794753e-06,1.0759339667212787e-06,0.10358928877919173,0.10436478511660184,0.10429508931482183,0.0002161095620052482,0.0002236387950361675,0.00022104936060645506,0.0004842792953622566,0.0004824983310868327,0.0004769212180149222,8.092478570160947e-07,8.17575303973811e-07,8.649764348209417e-07
12,0.17870554208443074,0.1811490817653276,0.18061502988319106,0.0002465538435550298,0.0002472214107090969,0.0002459779001596793,0.0015218068296589356,0.0015122689834421493,0.0015242174891939467,2.2547074402711277e-06,2.253860478234383e-06,2.1518634472074055e-06,0.1682211224559873,0.16996563866442105,0.1700915744529742,0.00043203906288273586,0.0004470801981327001,0.0004419109107904371,0.0009675084945900378,0.000963958700594623,0.0009528360456444249,1.6184931969272156e-06,1.6351480341159025e-06,1.7299499978770342e-06
13,0.263245874263718,0.26756022881968594,0.26674033678944237,0.0004928687957313923,0.0004942044801852187,0.0004917183028134134,0.0030332765447733424,0.0030143502533688292,0.003038057749722366,4.509394372603751e-06,4.507686606083979e-06,4.303708949615794e-06,0.25174095248487227,0.2550261655744742,0.25556284313519123,0.0008633590148490505,0.0008933721480037232,0.0008830717851831504,0.0019308340105179574,0.001923782618268683,0.001901662749587831,3.2369763254937474e-06,3.2702857729662184e-06,3.459888508766767e-06
14,0.359223845902531,0.36576813842670763,0.36463727783549255,0.0009847837779889982,0.0009874573333639766,0.0009824883511161911,0.0060257375390311676,0.0059884704946459545,0.006035142804273277,9.018706714871057e-06,9.01523581473652e-06,8.607346121168223e-06,0.34824893485359615,0.35346770293432234,0.35459250273353193,0.001723850618264554,0.0017836018137998512,0.001763153027527356,0.003845073882805593,0.003831161182131793,0.003787416558386704,6.473912378018445e-06,6.540530365360414e-06,6.919731070161091e-06
15,0.4590430737562528,0.4677521376091611,0.4663418149376255,0.0019657662526732676,0.0019711219972739498,0.0019611975034135565,0.011892338022976907,0.011820053788488877,0.011910545294565224,1.803708531973639e-05,1.8029922072606457e-05,1.7214405139144226e-05,0.44985650531551574,0.45702849008581237,0.45879661933704724,0.0034363032694914217,0.00355471707017656,0.0035144200781328963,0.007624850442545648,0.007597764415120645,0.00751220392147796,1.2947663667950043e-05,1.3080896012355201e-05,1.3839278355446364e-05
16,0.55577270950219,0.5661742174972842,0.5645655400899645,0.003916437856029168,0.0039271829987520815,0.003907387738021559,0.023179072916748276,0.023042827217771372,0.023213259830641667,3.607285829016228e-05,3.605764618057965e-05,3.442766193800365e-05,0.5490616427915093,0.5578162978594879,0.5601422886572417,0.00682757899827257,0.007060143652410471,0.006981895944325392,0.014996794422492788,0.014945421694298414,0.014781624899682936,2.5894683013865724e-05,2.61611331826257e-05,2.7677821608298732e-05
17,0.6442125147605386,0.6555788104644275,0.6538800390850925,0.007773365316094466,0.007794983382249351,0.007755606513048816,0.04415464683182229,0.04391086371470831,0.0442153631217127,7.214046790865309e-05,7.21065026046462e-05,6.885073109464682e-05,0.6400922731061917,0.649795579952602,0.6524916088423461,0.013479421888022317,0.013928198239256244,0.013780660444632163,0.029043095047135686,0.02895041719940125,0.028649319218260888,5.1786788982068895e-05,5.231963124790433e-05,5.535270310145762e-05
18,0.7212305509412653,0.7327753831086647,0.7310954076363132,0.015315384217297888,0.015359080152391071,0.015281170824896403,0.08089186539125218,0.080492112160349,0.08099002570948392,0.0001442599469331268,0.0001441778629890932,0.00013768309570057988,0.7193954154708067,0.7293344757495429,0.7321735859195334,0.026288793474812104,0.027126050687828585,0.026863689858350238,0.054704136524033095,0.05455175563740666,0.05403733206623754,0.00010356327172081859,0.00010462872403386379,0.00011069364810363675
19,0.7856197869544664,0.7966630479203848,0.7950906327427457,0.029755246231973075,0.02984411457033722,0.029691590312094937,0.139663391089433,0.13908727085388647,0.13980119691665005,0.0002884359847166884,0.0002882152913795358,0.00027529276251612165,0.7855417922113057,0.7950874109939756,0.7978616254362985,0.050131155118580066,0.051599047533681455,0.05118432235989829,0.09843048571628235,0.09821795610679088,0.0974399856244249,0.00020708533397552264,0.0002092153102716514,0.0002213402826906797
20,0.8376621266312595,0.8477214759974714,0.8463151321040748,0.056356555774582165,0.05653791246494889,0.056245367609388426,0.2232219840876506,0.2225163303818237,0.22338296929890852,0.0005765367034067746,0.0005758699159939653,0.000550292105667049,0.838765833004243,0.8474669912044103,0.850022605715128,0.0919796698251791,0.09429164922438941,0.09378188342860587,0.1657716511189276,0.1655498753451059,0.1645699916873079,0.000414005954024242,0.0004182621976472561,0.0004424926622036934
